Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
Comparing antiemetic regimens as maintenance therapy in highly emetogenic chemotherapy.,54,47,39,41,41,41,29,33,44,44,47,42,40,30,50,41,35,35,36,35,34,38,50,30,46,46,41,32,35,30,38,30,40,43,40,41,40,42,38,33,29,35,43,31,41,38,46,33,44,29,33,33,38,40,33,37,30,36,35,22,39,47,34,60,38,50,28,44,44,40,41,31,42,33,37,46,44,39,41,37,29,34,20,42,36,38,42,35,42,28,33,40,30,34,35,29,57,45,50,40,25,42,32,39,45,38,50,44,38,42,33,42,35,46,41,35,43,42,22,41,41,47,54,35,46,38,43,50,42,58,46,40,36,57,38,48,45,39,44,47,39,38,34,43,40,38,58,62,45,37,38,38,39,28,26,36,44,31,56,36,39,34,41,34,33,42,32,40,38,40,40,35,23,28,37,42,43,35,36,38,36,42,50,47,50,41,47,25,45,40,44,43,40,30,53,47,41,38,33,36,62,50,35,46,30,45,46,43,33,38,27,40,38,35,47,33,37,43,33,43,39,38,48,47,57,33,44,43,41,50,50,36,42,42,47,35,40,41,39,41,45,45,33,44,57,38,41,34,43,32,41,40,43,33,30
Effect of body weight on height of foot bone which is boat shaped and thickness of fibrous band uniting the inner parts of the body of the foot,38,40,30,32,32,31,29,29,31,38,41,42,40,40,33,41,45,35,32,30,21,31,36,44,36,46,40,32,43,26,38,50,33,25,40,17,15,15,10,13,31,38,43,44,45,50,38,29,33,32,48,31,31,40,50,30,40,43,35,33,30,40,33,50,38,50,44,33,50,60,35,28,42,42,39,31,50,36,35,40,36,31,40,39,46,46,50,45,42,40,27,50,34,39,46,26,43,38,14,45,50,47,36,34,32,31,38,38,38,42,31,37,31,32,36,35,40,33,29,29,41,32,38,35,38,38,43,38,50,42,38,35,28,29,38,26,30,35,33,42,39,38,40,43,50,38,42,50,40,41,38,31,33,32,31,45,39,38,44,38,33,31,36,42,56,42,32,40,42,33,35,33,36,31,33,50,29,40,43,38,36,42,36,41,42,38,37,38,40,30,36,36,40,33,33,40,44,50,33,34,25,50,35,45,39,40,54,43,22,25,36,35,27,38,53,44,33,43,33,26,39,25,52,41,29,25,39,36,33,38,39,32,35,42,33,48,33,50,26,30,42,33,42,33,57,50,33,34,43,37,32,45,48,33,50
Clinical study of Pittantak Yoga and Amlapittantak Choorna in Hyperacidity,38,33,17,18,47,38,29,38,36,38,41,42,30,40,50,47,45,48,32,35,46,25,43,32,36,38,53,32,40,30,50,40,47,36,45,36,36,38,35,36,45,29,48,31,50,42,54,38,39,37,33,33,38,33,18,30,50,29,35,33,48,40,39,40,38,38,22,50,31,40,35,34,42,50,35,31,39,42,35,43,32,38,40,50,39,21,48,41,39,30,33,50,31,36,34,23,57,50,38,40,33,37,32,28,38,29,50,38,38,38,38,32,38,46,27,31,33,42,29,41,27,33,46,35,38,38,29,38,50,42,38,35,32,57,44,48,45,39,33,32,39,33,44,29,40,31,25,38,20,22,35,40,28,24,33,45,28,25,56,31,33,29,41,36,33,37,41,35,29,22,40,37,31,21,44,38,43,30,29,44,36,42,43,29,42,36,37,50,25,45,28,29,30,40,38,36,33,38,33,38,46,50,35,36,17,25,33,29,30,38,41,30,32,33,47,33,37,43,33,39,35,38,43,42,57,33,39,43,39,38,39,43,33,29,40,39,33,32,26,46,42,42,42,33,36,38,30,31,43,42,41,45,43,27,30
A comparison between Snuhi Pratisaraneeye Kshara(local application of alkali prepared from common milk hedge plant) and Apamarga Kshara(local application of alkali prepared from prickly chaff flower) plant) in the management of Abhyantara Arsha(Internal Piles).,31,33,30,23,38,38,19,29,28,38,29,25,30,30,33,29,35,22,20,35,36,31,29,28,32,31,35,23,33,35,12,30,20,43,25,27,38,24,18,21,31,14,26,31,36,29,35,38,22,24,24,24,31,8,33,20,10,25,29,17,30,33,28,40,31,38,22,33,19,40,41,34,8,8,22,8,33,28,29,26,32,38,0,17,26,25,33,35,32,30,27,30,28,31,25,26,36,31,25,35,25,26,32,28,28,32,38,25,19,27,31,42,35,38,18,26,10,25,21,35,27,27,31,30,31,15,14,25,38,17,23,30,28,14,31,30,36,23,17,21,23,36,24,14,20,19,33,25,20,27,12,25,23,16,28,27,22,25,22,36,17,38,32,24,22,42,24,30,21,29,25,33,26,19,26,31,21,25,14,19,21,8,21,18,17,26,37,12,40,35,40,17,20,37,33,20,48,38,22,30,38,33,20,23,30,20,17,29,27,38,27,30,21,38,35,22,36,36,33,26,30,25,29,29,29,25,17,36,30,25,28,14,17,20,33,48,27,14,26,24,21,32,42,25,21,25,30,17,26,32,9,35,36,17,20
Bone Healing Effect Of Lakshagrishtiksheeradi Churna In fractures of long bones.,38,60,30,32,41,37,29,29,33,31,35,33,40,50,33,35,39,35,36,39,43,38,29,40,33,38,40,27,30,39,75,40,27,43,40,32,32,33,38,36,38,48,35,31,41,38,42,29,44,32,43,30,38,40,33,30,40,39,47,44,30,37,26,20,38,38,32,22,56,40,41,38,50,33,28,31,39,39,47,40,43,38,40,39,39,42,42,45,39,45,33,40,31,33,33,30,43,44,38,40,25,38,32,39,40,31,50,44,41,27,27,32,42,41,33,37,33,29,39,35,41,47,31,35,38,38,29,38,35,33,38,40,29,43,31,48,39,42,39,37,29,44,36,43,50,28,50,38,30,33,38,38,33,26,28,27,29,38,56,41,32,26,41,40,44,42,34,35,34,29,31,33,36,33,37,38,36,36,37,44,50,33,36,29,42,29,38,38,24,25,36,36,40,33,33,27,35,50,44,36,38,50,45,41,35,50,46,43,33,38,36,45,31,26,29,33,33,29,33,30,28,50,40,35,29,33,44,29,45,50,39,36,42,42,33,35,37,41,29,35,54,35,25,33,29,44,33,28,39,37,41,35,43,50,40
Study the effect of specific Ayurvedic therapy in the patients suffering from diabetic complication on kidney,31,47,37,38,38,38,38,42,31,38,41,42,50,30,50,41,35,42,48,35,36,38,29,44,36,38,33,41,37,39,38,40,40,43,40,50,36,38,35,39,38,48,48,38,45,46,31,24,44,32,43,43,38,47,50,30,50,50,47,28,43,40,39,60,38,50,39,33,44,40,41,38,42,42,37,38,56,39,35,50,39,38,20,39,39,46,58,50,43,35,33,40,34,33,42,23,52,39,50,40,50,26,41,44,45,40,38,38,31,40,38,47,35,34,41,29,47,38,29,47,39,40,62,45,33,46,43,38,38,33,46,35,33,29,38,35,33,35,39,55,29,42,31,43,50,31,42,50,30,26,27,31,33,32,40,45,34,31,56,36,33,29,37,32,33,42,32,45,46,24,29,40,28,36,41,42,36,40,29,50,36,50,43,41,50,33,42,21,40,40,36,43,40,37,38,40,41,38,22,40,40,40,40,43,39,35,46,57,33,46,45,30,36,38,41,44,33,36,33,33,35,38,43,41,57,25,42,43,35,38,38,22,42,42,40,35,47,41,39,35,38,26,42,44,50,44,28,34,35,37,41,35,36,33,30
A study to compare pomegranate fruit peel powder converted into gel and commercially available gel in the treatment of disease called oral lichen planus,46,40,39,36,44,38,38,46,44,38,53,33,40,40,50,41,39,36,44,57,43,38,50,36,41,46,33,50,37,48,38,40,47,57,45,55,20,29,46,50,43,52,43,56,41,46,46,42,44,37,38,29,38,47,40,50,44,50,47,50,43,53,56,40,38,25,56,44,44,40,45,41,33,33,41,31,29,44,47,40,43,34,60,50,39,46,42,45,42,65,27,50,44,39,42,48,43,44,50,35,25,63,59,44,33,40,38,38,56,58,22,47,46,41,41,39,43,38,37,29,55,40,46,45,38,38,43,38,46,42,38,35,44,43,44,43,39,39,44,49,43,43,33,57,57,47,33,62,55,37,38,44,44,36,34,36,39,34,56,44,44,27,36,33,56,42,36,40,38,44,38,37,51,31,33,29,43,40,50,56,43,50,43,41,45,45,58,46,55,50,56,36,30,37,41,40,41,50,33,40,62,50,45,39,57,35,46,43,33,38,27,60,33,43,41,33,43,43,50,35,48,25,43,47,57,27,47,43,42,50,44,43,33,33,40,43,43,50,48,41,42,45,33,33,57,38,33,38,39,58,41,30,29,42,40
correlation of lumbo-pelvic muscle stability with badminton related performance parameters.,46,40,38,36,41,50,33,33,36,50,41,42,40,30,50,47,45,40,40,35,39,37,50,40,37,46,33,36,32,30,38,40,40,29,35,36,36,38,32,43,31,48,48,31,36,33,33,42,33,37,31,29,31,29,33,40,40,36,53,39,39,33,35,38,46,38,33,44,44,60,53,35,42,33,39,38,39,36,47,40,36,38,40,56,43,38,42,40,35,30,33,60,38,35,37,26,35,22,38,45,25,32,41,39,27,43,38,44,38,38,42,45,38,35,45,33,39,38,32,41,41,47,46,30,54,31,43,38,42,58,46,25,32,43,44,43,42,39,39,42,42,36,33,43,40,44,50,50,40,30,35,44,39,40,34,36,39,31,44,39,39,25,45,33,33,42,45,35,46,33,32,35,32,36,44,29,43,45,43,44,43,42,43,53,58,38,42,38,45,35,52,36,30,44,38,53,33,38,33,38,62,50,55,36,26,35,46,57,27,46,36,40,38,48,47,44,25,50,33,30,39,50,38,59,43,29,20,43,42,50,33,36,33,42,40,43,37,41,39,42,38,32,33,33,50,38,37,38,39,37,41,40,27,50,30
Ayurvedic Management of Male Infertility,38,33,35,36,27,33,16,21,46,21,40,50,40,30,50,47,19,30,24,35,23,38,43,22,35,46,47,29,30,30,25,40,33,29,55,36,33,38,32,36,25,24,23,31,35,42,48,28,33,30,43,33,31,40,33,35,50,15,41,33,39,44,39,40,23,38,28,33,38,22,35,36,42,33,34,32,56,38,41,29,36,34,40,72,35,28,33,30,29,35,40,30,33,31,33,36,43,48,38,40,29,39,27,33,13,32,38,31,30,31,35,32,38,24,32,35,37,34,25,41,32,33,46,30,46,46,31,50,38,50,38,30,40,57,100,44,42,36,39,47,42,25,50,29,47,38,32,50,35,33,35,44,33,36,38,45,33,25,56,31,33,38,36,45,33,37,32,35,39,41,40,34,25,20,36,42,36,30,36,42,36,42,38,35,33,30,37,38,30,45,36,29,30,26,45,37,41,38,15,35,38,33,30,36,35,35,38,43,33,31,32,35,40,38,35,33,19,38,36,35,35,38,38,47,43,33,33,38,18,38,29,36,33,33,40,23,37,32,20,62,46,42,42,56,36,31,21,41,39,42,37,40,29,33,40
A study to observe the Efficacy of Diode Laser on Hair Removal,23,40,30,32,44,34,38,29,33,38,41,33,40,40,33,29,32,42,36,35,36,44,50,36,44,38,33,41,30,39,38,30,47,50,37,41,42,43,49,36,31,38,48,38,36,42,42,31,33,32,40,29,38,27,50,45,40,39,29,39,48,40,33,40,38,25,39,44,50,40,35,35,33,33,37,31,33,42,41,31,36,34,60,33,43,50,42,41,38,40,53,40,31,42,42,42,36,31,38,37,25,42,41,44,32,34,38,38,44,35,38,37,36,32,36,32,39,32,39,53,36,40,38,35,54,31,57,38,38,50,38,30,44,43,38,24,36,42,44,37,42,43,38,43,27,50,42,25,45,28,35,33,33,36,32,36,39,38,44,37,50,36,38,40,44,42,50,30,42,20,32,42,38,50,33,38,36,40,50,44,37,33,43,41,33,40,42,38,45,45,44,36,30,36,43,47,33,25,33,33,38,50,55,41,35,36,38,29,27,31,34,45,27,43,39,33,33,43,40,33,39,25,39,35,43,50,44,36,30,50,26,36,33,35,33,35,40,32,39,35,33,35,27,33,50,38,41,38,30,37,23,55,36,33,40
Indian Movement Disorder Registry,38,27,28,29,33,35,48,29,52,38,47,42,33,30,36,35,20,47,44,30,24,50,43,40,36,48,33,45,32,30,38,30,33,36,30,32,23,23,26,47,34,48,39,50,48,33,39,31,39,34,27,15,32,33,50,40,40,38,41,33,40,36,28,50,46,50,61,40,69,20,48,38,42,42,42,40,33,38,35,36,20,19,20,42,29,29,50,40,39,35,33,38,19,30,45,33,38,35,14,25,50,53,36,56,34,34,38,44,31,38,39,37,46,34,27,42,40,40,39,47,41,40,46,40,38,31,43,25,35,42,23,30,44,43,38,30,33,42,56,24,45,30,30,43,60,69,33,38,45,43,48,31,28,56,31,45,39,44,44,33,61,27,34,30,22,29,50,45,36,33,33,30,24,24,30,37,36,55,71,31,32,42,43,35,42,39,47,33,25,35,40,36,40,33,44,28,31,38,44,46,50,50,50,51,40,25,31,29,27,38,32,45,27,52,31,22,37,32,60,21,57,25,32,33,43,33,38,36,29,36,39,24,27,33,47,29,43,36,29,42,38,35,33,44,43,44,43,48,33,47,32,35,29,33,25
Effect of transcranial direct current stimulation on level of coma in patients with head injury:A Single Subject ABA Design,46,53,30,32,38,38,33,33,36,39,41,43,40,50,50,41,48,38,44,39,36,38,50,44,41,62,33,41,30,35,50,40,53,43,47,41,32,33,38,39,43,43,48,44,41,46,38,31,44,34,43,33,31,40,50,45,50,46,41,39,43,40,44,40,46,50,39,44,44,40,47,41,43,33,39,46,44,39,47,47,43,41,40,39,46,42,42,40,42,50,40,40,31,39,36,37,52,38,62,40,50,32,36,50,32,33,38,38,38,42,33,42,35,32,32,33,40,42,45,47,45,33,46,35,38,46,43,38,38,42,46,30,40,57,44,43,42,29,33,37,39,27,40,29,42,38,25,38,35,26,27,38,39,32,39,45,36,38,56,41,39,30,32,38,33,42,41,35,42,36,38,33,30,39,38,38,43,35,36,50,43,42,50,47,42,43,47,46,45,30,40,36,50,37,37,40,41,38,33,38,38,50,40,45,43,30,54,57,36,46,41,40,45,38,53,44,50,50,33,43,43,38,48,53,71,29,39,43,33,62,56,43,50,42,47,39,40,41,39,38,46,36,42,44,43,38,37,45,42,53,33,40,43,42,40
"To see the effect of Shirobasti(Pooling of oil on head),Shirodhara(Pouring warm oil over the head for a period of time), Shiropichu(cotton dipped with warm medicated oil kept over head) and Shiroabhyanga(Head Massage with medicated oil) with Lakshadi Taila(Medicated oil) in Nidranash(Insomnia).",46,33,26,27,29,31,43,33,38,25,35,42,20,20,33,35,39,45,32,30,39,31,29,28,33,31,40,23,33,26,25,30,27,21,25,32,24,25,27,18,36,24,43,31,36,33,35,31,33,27,29,33,38,27,33,35,30,39,24,28,22,37,33,40,31,25,28,33,25,40,24,38,33,25,37,23,28,39,18,40,32,41,0,33,29,25,33,25,29,25,20,30,34,33,33,23,29,19,12,25,50,26,14,22,32,33,38,31,25,35,33,21,35,30,27,33,13,33,32,24,36,47,31,25,15,31,43,25,38,42,31,30,28,14,19,39,30,29,17,21,26,29,33,0,30,19,25,25,35,33,35,31,39,24,31,27,11,50,22,38,17,36,32,33,0,26,27,30,38,24,33,33,30,36,41,33,21,35,14,19,36,33,43,24,33,38,37,38,25,20,32,29,20,41,29,20,30,50,22,40,25,33,20,36,26,40,38,29,27,31,36,15,33,29,18,22,33,21,33,35,35,25,19,29,29,25,28,21,36,25,39,29,33,25,33,39,37,36,32,27,33,32,33,33,43,44,33,24,39,37,32,25,36,42,30
A new screening and treatment programme for diabetic retinopathy in Kerala Health services.,46,47,39,36,47,41,38,33,46,44,41,42,50,40,50,47,42,22,36,30,46,38,36,32,46,45,47,36,43,39,38,30,47,43,40,41,28,33,43,50,40,48,39,38,41,46,35,31,33,32,43,38,38,33,50,35,40,54,47,50,39,30,39,40,46,62,44,33,50,60,47,31,33,26,35,38,29,35,41,37,46,46,40,50,46,41,50,50,45,32,33,50,41,44,46,39,57,44,25,35,50,42,32,44,40,42,38,38,31,46,31,37,38,38,36,41,43,42,32,35,45,53,31,40,38,38,43,38,38,33,38,30,32,43,44,39,39,39,50,43,40,40,33,43,60,53,33,50,40,33,35,31,33,38,44,36,28,31,44,44,50,39,45,36,44,37,45,45,38,33,33,33,26,33,30,44,29,35,43,38,43,42,37,42,45,31,35,47,40,42,40,43,50,33,41,53,37,38,33,43,50,67,50,45,43,42,46,43,33,46,41,47,36,38,53,33,43,37,67,30,39,38,43,41,43,42,50,43,36,50,56,35,29,33,47,39,35,50,41,43,48,35,33,44,44,44,41,45,30,32,41,45,36,42,50
Effect of domperidone containing antiemetic regimen on the electrical activity of heart in patients with malignancy,38,47,39,41,38,44,33,42,32,31,47,35,30,40,33,41,35,30,44,52,36,31,36,32,38,38,33,36,38,35,38,30,47,36,35,45,32,46,32,36,36,48,48,50,45,46,46,36,56,30,43,38,46,27,50,35,50,38,41,39,40,43,33,50,38,50,44,33,44,40,53,41,42,35,39,54,44,31,41,47,39,41,40,34,39,38,33,45,45,30,33,40,31,33,33,32,50,38,25,40,50,32,41,39,38,42,38,38,31,42,42,37,38,49,45,31,38,33,34,41,55,47,33,30,31,38,43,50,42,35,54,40,28,57,50,43,33,39,33,42,42,38,43,43,40,50,50,38,35,37,35,38,33,40,29,36,33,50,67,44,39,34,41,37,22,58,41,35,42,36,32,44,34,42,48,42,36,40,36,44,37,50,43,47,50,43,37,46,40,45,32,43,60,41,38,40,41,50,33,34,38,50,45,45,52,40,38,57,27,31,45,45,40,29,36,33,37,36,33,30,35,38,38,34,57,40,46,36,36,50,33,43,50,33,53,39,37,41,29,41,46,42,32,44,36,44,37,31,48,47,36,43,36,42,40
The study is done to compare between Deep Breathing Exercise and A medical device used to improve lung function on the expansion of the lungs and the lung condition of the patients who have undergone a stomach operation.,38,20,30,27,38,34,43,25,38,38,29,25,30,30,33,24,45,38,24,35,32,19,14,36,46,38,20,36,33,22,0,30,47,29,20,32,32,29,30,32,24,43,48,19,45,33,38,38,28,39,24,24,23,27,17,50,10,50,47,33,39,47,39,20,38,25,44,44,31,20,29,38,25,25,26,23,56,39,35,47,36,31,20,33,36,38,33,40,39,30,27,20,28,36,38,29,29,31,25,40,25,32,23,33,40,33,38,12,38,23,33,26,31,41,41,33,33,25,32,29,23,20,31,25,23,23,29,12,38,33,15,30,40,0,44,22,33,35,28,26,26,36,31,14,20,31,25,12,25,33,31,25,33,32,35,18,33,38,22,33,33,39,32,31,22,32,36,15,29,29,17,42,43,36,41,33,29,45,14,38,29,33,29,29,25,33,26,29,20,25,32,29,10,33,33,27,33,25,22,34,25,33,45,45,22,15,38,29,20,23,36,25,33,29,18,22,33,36,17,30,43,25,29,29,14,17,17,36,36,25,28,21,8,25,33,35,30,27,35,35,50,26,17,11,36,31,44,28,30,37,27,40,43,33,30
A Study of Febuxostat Tablets for treatment of chronic Hyperuricemia,31,36,30,32,32,28,38,38,31,44,35,42,30,40,50,41,35,32,36,33,43,38,36,32,28,45,47,35,37,30,38,30,33,43,35,50,52,54,46,50,43,43,39,44,41,38,38,29,39,35,38,33,31,40,40,25,44,49,53,29,22,34,39,40,31,50,33,33,44,60,41,31,40,40,35,38,29,39,29,37,46,41,40,39,36,42,50,45,39,30,33,50,28,39,38,24,33,30,25,40,50,32,29,39,34,29,25,38,28,46,21,33,39,38,36,25,30,28,21,35,50,47,31,35,38,38,43,62,31,33,38,25,22,43,44,22,29,35,41,40,39,38,32,36,57,47,38,38,45,33,42,38,33,28,27,36,22,40,22,34,39,38,36,32,33,34,41,20,33,24,25,28,26,33,44,25,36,35,36,45,43,50,36,41,45,29,32,34,40,35,36,36,30,37,41,47,20,62,33,32,38,67,45,41,28,42,46,57,33,38,27,30,26,29,47,22,30,29,33,30,35,38,33,41,46,42,56,36,33,50,50,43,42,42,33,26,35,36,32,30,42,33,42,67,36,38,48,28,43,32,33,35,29,33,30
Evaluation of effect of early developmental physiotherapy treatment utilizing different sensory experiences versus developmental intervention to help gain head control in infants with developmental delay.,46,40,26,23,47,22,43,38,35,38,29,25,30,20,50,35,32,35,36,39,36,25,21,40,31,31,33,32,27,39,38,50,33,36,35,41,24,38,41,32,31,38,39,50,36,38,35,33,44,33,33,29,31,33,50,25,40,29,35,17,30,37,33,30,11,27,33,33,38,0,29,44,25,33,30,15,33,39,29,50,46,41,0,39,29,12,25,45,32,45,47,30,38,39,38,35,43,25,38,45,50,42,41,39,28,36,38,31,31,23,54,42,23,27,36,27,37,25,18,35,45,33,31,30,46,23,14,38,38,33,25,35,24,14,38,43,30,29,33,21,19,35,33,14,30,38,33,50,25,30,38,38,39,32,28,27,28,25,22,36,33,36,18,33,22,53,32,40,33,40,31,30,21,36,37,38,36,30,29,31,21,33,36,35,25,36,26,33,35,30,24,29,30,37,29,33,33,38,22,30,0,17,35,32,43,20,23,29,27,38,23,50,40,33,29,22,37,43,33,22,35,25,29,35,43,17,11,43,39,38,33,29,25,42,27,22,30,36,29,32,33,32,33,33,36,31,30,34,43,26,27,40,33,42,50
Safety and Performance Evaluation of the Supralimus Grace Sirolimus-eluting Stents in an All-comers Patient Population,54,53,30,27,44,38,43,27,43,38,47,33,50,30,55,35,45,40,40,35,46,44,43,36,38,38,43,45,33,35,38,50,40,29,40,27,20,25,35,36,42,38,52,38,41,33,42,38,39,36,43,29,31,41,33,30,40,39,47,28,35,43,39,40,38,38,56,40,69,40,47,38,58,42,41,54,44,44,47,50,39,41,60,44,36,46,42,35,42,40,40,40,38,36,38,34,43,56,50,35,50,37,36,44,42,44,50,31,38,35,33,42,38,43,50,41,43,38,34,35,31,40,46,40,54,31,29,38,42,50,54,35,28,43,44,29,33,42,44,19,45,29,41,57,40,50,53,50,35,30,38,33,39,44,37,45,50,31,56,33,44,34,27,39,44,58,45,35,46,33,35,40,34,39,37,42,36,45,50,44,36,42,57,53,42,52,53,42,45,40,36,29,50,33,38,60,52,62,33,45,62,50,50,45,35,45,38,43,33,38,32,35,42,48,41,56,43,43,50,33,43,50,43,47,57,40,40,50,48,50,39,43,33,33,47,43,43,45,42,46,58,42,42,44,57,56,41,45,39,47,45,35,43,33,50
"A study comparing effectiveness of two drugs, Eutectic mixture of local anaesthetic and Amethocaine in newborns for reducing pain",46,40,35,36,47,38,38,38,38,44,35,42,50,30,50,41,42,38,40,39,32,44,43,36,41,31,40,41,40,35,38,30,47,29,35,36,40,33,41,39,45,52,39,38,41,50,42,31,33,27,43,48,38,40,50,40,40,29,41,39,40,50,50,40,38,50,44,44,44,40,47,36,42,42,46,38,50,42,53,40,43,41,40,33,34,50,50,50,42,40,40,30,38,31,42,29,36,38,50,40,50,39,41,33,35,38,38,38,38,31,31,32,35,41,36,29,43,38,37,41,36,47,38,40,54,38,29,50,35,50,54,40,36,57,38,35,39,39,33,32,39,40,44,57,40,31,58,50,45,41,36,38,33,28,38,45,50,38,56,44,44,32,41,36,44,58,41,35,42,31,31,37,34,36,41,40,43,45,43,44,36,33,64,65,42,40,47,50,40,35,32,29,40,52,43,53,31,38,33,40,29,50,45,45,35,40,46,57,33,31,36,35,42,33,41,33,37,57,50,30,30,38,38,59,43,42,28,50,30,50,39,43,33,33,47,43,40,41,42,35,50,42,33,44,50,44,37,38,35,37,32,40,43,42,40
